"","Fish_ID","island","islandcode","fishingstatus","station","depth","habitat","Field.Date","Dissection.date","TL","TL_Thawed","TL_Field","FL_Field","SL_Field","Fish_Weight_Thawed","Stomach","Gonads","TREM.ALL","NEM.ALL","CEST.ALL"
"26","802","Palmyra","3 - Palmyra","Unfished","Penguin Spit Channel",15,"backreef","10/25/10","6/11/12",87.3,87.3,90,82.7,77,16,13736,"12562",0,0,0
"27","803","Palmyra","3 - Palmyra","Unfished","Penguin Spit Channel",15,"backreef","10/25/10","6/12/12",73.38,73.38,76.4,67.4,61.4,10.1,13746,"13726",0,0,0
"28","804","Palmyra","3 - Palmyra","Unfished","Penguin Spit Channel",15,"backreef","10/25/10","6/14/12",89.1962,NA,83.4,76.3,69,NA,NA,"",1,0,0
"29","805","Palmyra","3 - Palmyra","Unfished","Penguin Spit Channel",15,"backreef","10/25/10","6/14/12",87.965,NA,79.4,72.3,68.1,NA,NA,"",0,0,0
"30","807","Palmyra","3 - Palmyra","Unfished","Penguin Spit Channel",15,"backreef","10/25/10","6/14/12",72.9,72.9,73.9,67.9,61.4,9.79,12932,"13342",1,0,0
"31","808","Palmyra","3 - Palmyra","Unfished","Penguin Spit Channel",15,"backreef","10/25/10","6/11/12",99.3194,NA,87.5,82.1,76.4,13.38,12936,"12564",0,0,0
"32","810","Palmyra","3 - Palmyra","Unfished","Penguin Spit Channel",15,"backreef","10/25/10","6/14/12",84.1346,NA,77.3,71.2,65.3,NA,NA,"",1,0,0
"33","811","Palmyra","3 - Palmyra","Unfished","Penguin Spit Channel",15,"backreef","10/25/10","6/14/12",85.13,85.13,85,75.1,69.8,12.52,9001,NA,0,0,1
"34","812","Palmyra","3 - Palmyra","Unfished","Penguin Spit Channel",15,"backreef","10/25/10","6/11/12",82.01,82.01,80.4,71.7,66.4,11.13,13937,"13334",1,0,0
"35","821","Palmyra","3 - Palmyra","Unfished","Penguin Spit Channel",15,"backreef","10/26/10","6/14/12",80.9882,NA,86,75.7,63,12.52,16972,NA,0,1,0
"36","825","Palmyra","3 - Palmyra","Unfished","Penguin Spit Channel",15,"backreef","10/26/10","6/14/12",95.02,95.02,95.4,86.4,71.2,17.012,16725,"17092",1,0,0
"37","827","Palmyra","3 - Palmyra","Unfished","Penguin Spit Channel",15,"backreef","10/26/10","6/12/12",84.19,84.19,92,82.3,67.3,17,12943,"13732",0,0,0
"38","830","Palmyra","3 - Palmyra","Unfished","Penguin Spit Channel",15,"backreef","10/26/10","6/14/12",92.71,92.71,94.2,84.8,68.6,18.66,9575,NA,1,0,0
"39","868","Kingman","2 - Kingman","Unfished","KIN-2010-F2",35,"backreef","10/31/10","6/14/12",84.4082,NA,81.4,77,65.5,NA,NA,"",3,0,0
"40","869","Kingman","2 - Kingman","Unfished","KIN-2010-F2",35,"backreef","10/31/10","6/14/12",88.43,88.43,85.9,80,68.2,11.62,14776,"15107",24,0,0
"41","871","Kingman","2 - Kingman","Unfished","KIN-2010-F2",35,"backreef","10/31/10","6/14/12",89.84,89.84,86.9,80.5,67.9,16,12391,"11812",22,0,0
"42","873","Kingman","2 - Kingman","Unfished","KIN-2010-F2",35,"backreef","10/31/10","6/12/12",86.19,86.19,82.7,75.9,65.1,15,11486,"12053",3,0,0
"43","874","Kingman","2 - Kingman","Unfished","KIN-2010-F2",35,"backreef","10/31/10","6/11/12",84.51,84.51,82.4,76.8,62.6,13,12360,NA,0,0,0
"44","875","Kingman","2 - Kingman","Unfished","KIN-2010-F2",35,"backreef","10/31/10","6/12/12",89.6066,NA,87.4,81.3,69.3,15.15,12398,"12113",0,0,0
"45","876","Kingman","2 - Kingman","Unfished","KIN-2010-F2",35,"backreef","10/31/10","6/12/12",103.013,NA,92.7,87.8,79.1,19.55,12437,"11452",0,0,0
"46","879","Kingman","2 - Kingman","Unfished","KIN-2010-F2",35,"backreef","10/31/10","6/11/12",81.23,81.23,80.3,72.4,62.4,10,11419,"12389",0,0,0
"47","971","Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","6/8/12",97.2,97.2,97.4,87.4,73,18.44,15073,"14250",0,0,0
"48","974","Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","6/8/12",96.58,96.58,98.2,87.1,72.1,21.47,17028,"16590",1,0,0
"49","976","Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","6/8/12",95.3,95.3,98.9,87.9,72.5,NA,15448,"15446",1,0,0
"50","1010","Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","6/13/12",105.38,105.38,105,98,82,24.56,12872,"12883",0,0,0
"51","1012","Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","6/13/12",89.93,89.93,90,98,72,17.6,14953,NA,2,0,0
"52","1014","Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","6/13/12",92.67,92.67,95,89,73,17.16,14214,NA,0,0,0
"53","1015","Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","6/13/12",97.4042,NA,94,85,75,NA,NA,"",0,0,0
"54","1016","Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","6/8/12",97.4042,NA,96,90,75,NA,NA,"",1,0,0
"55","1017","Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","6/13/12",100.13,100.13,98,89,74,22,12364,"12878",0,0,0
"56","1018","Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","6/13/12",105.69,105.69,102,96,80,22,13274,"12482",1,0,0
"57","1020","Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","6/13/12",97.4042,NA,98,95,75,NA,NA,"",0,0,0
"58","1021","Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","6/13/12",101.88,101.88,97,93,76,21,12892,"12495",1,0,0
"59","1023","Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","6/13/12",97.4042,NA,98,90,75,NA,NA,"",0,0,0
"60","1043","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/13/12",100.1402,NA,102,91,77,NA,NA,"",5,0,0
"61","1048","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/14/12",77.95,77.95,82,75,60,10.069,16324,NA,0,2,0
"62","1049","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/11/12",105.18,105.18,106,98,86,26,12559,"13287",6,0,0
"63","1050","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/11/12",101.97,101.97,109,83,81,24,13359,"12957",2,0,0
"64","1051","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/14/12",95.21,95.21,91,82,72,19.65,16592,"1668",4,0,0
"65","1665","Kingman","2 - Kingman","Unfished","KIN-2010-F2",35,"backreef","10/31/10","6/8/12",90.36,90.36,86.9,79.3,69.4,12.42,15590,"15188",44,0,0
"66","1666","Kingman","2 - Kingman","Unfished","KIN-2010-F2",35,"backreef","10/31/10","6/8/12",89.99,89.99,88.4,83.1,73.3,13,12062,NA,16,0,0
"67","1668","Kingman","2 - Kingman","Unfished","KIN-2010-F2",35,"backreef","10/31/10","6/8/12",83.5874,NA,80.3,75.1,64.9,NA,NA,"",1,0,0
"68","1688","Kingman","2 - Kingman","Unfished","KIN-2010-F4",60,"backreef","11/3/10","6/8/12",96,96,98.8,95.7,71.7,17.07,15564,"14770",0,0,0
"69","1691","Kingman","2 - Kingman","Unfished","KIN-2010-F4",60,"backreef","11/3/10","6/8/12",73.1906,NA,79.4,71.3,57.3,NA,NA,"",0,0,0
"70","1692","Kingman","2 - Kingman","Unfished","KIN-2010-F4",60,"backreef","11/3/10","6/8/12",78.02,78.02,83.7,76.8,58.9,10.98,15198,"14450",2,0,0
"71","1693","Kingman","2 - Kingman","Unfished","KIN-2010-F4",60,"backreef","11/3/10","6/8/12",91.53,91.53,90.9,84.4,71.1,17.21,15167,"14384",4,0,0
"72","1841","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/11/12",101.35,101.35,106,91,77,22,13366,NA,4,0,0
"73","1843","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/11/12",90.94,90.94,96,84,69,17,13360,"13353",1,0,0
"74","1846","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/14/12",103.79,103.79,100,87,77,19.5,16196,"16192",5,0,0
"75","1847","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/11/12",113.8202,NA,115,101,87,26,12556,"12560",3,0,0
"76","1848","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/11/12",98.09,98.09,105,92,75,22,13725,"13765",11,0,0
"77","1849","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/13/12",86.4602,NA,93,81,67,NA,NA,"",4,0,0
"78","1851","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/13/12",76.8842,NA,80,73,60,NA,NA,"",4,0,0
"79","1852","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/13/12",96.83,96.83,94,88,76,18.25,9947,NA,1,0,0
"80","1853","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/13/12",100.1402,NA,100,92,77,NA,NA,"",0,0,0
"81","1854","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/11/12",101.48,101.48,102,93,76,21,13745,"12561",14,0,0
"82","1856","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/13/12",102.29,102.29,102,94,77,21.66,9646,"9360",4,0,0
"83","1992","Jarvis","1 - Jarvis","Unfished","JAR-2010-F3",25,"forereef","11/13/10","6/8/12",104.1074,NA,100.8,93.1,79.9,NA,NA,"",2,0,1
"84","1996","Jarvis","1 - Jarvis","Unfished","JAR-2010-F3",25,"forereef","11/13/10","6/14/12",88.1018,NA,92.1,87.9,68.2,NA,NA,"",28,0,0
"85","2483","Kingman","2 - Kingman","Unfished","KIN-2010-F4",60,"backreef","11/3/10","6/8/12",89.93,89.93,92.1,82.8,66.2,13.42,15173,"?",1,0,0
"86","2641","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/14/12",84.02,84.02,85,71,64,12,16909,NA,0,0,0
"87","2642","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/11/12",109.7,109.7,115,102,87,26,13362,"12963",2,0,0
"88","2643","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/14/12",92.41,92.41,95,89,73,16.2,17108,"16615",2,0,0
"89","2644","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/11/12",101,101,104,98,81,21,13311,"13316",1,0,0
"90","2646","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/11/12",105.32,105.32,107,97,81,29,13730,"12994",1,0,0
"91","2647","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/11/12",101.63,101.63,98,88,75,21,13751,"13759",6,0,0
"92","2650","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/11/12",100.25,100.25,103,97,77,23,13331,"13713",1,0,0
"93","2652","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/11/12",103.81,103.81,110,98,82,26,13755,NA,7,0,0
"94","2653","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/13/12",86.47,86.47,106,93,80,25.53,9040,"9930",3,0,0
"95","2654","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/13/12",89.1962,NA,97,86,69,NA,9953,"9660",1,0,0
"96","2655","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/11/12",96.03,96.03,103,92,74,24,13722,"12950",11,0,0
"97","2656","Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","6/11/12",101.98,101.98,104,92,75,22,NA,"12529",2,0,0
"98","2757","Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","6/12/12",94.93,94.93,93.6,85.8,71.6,21,13299,"12396",21,0,0
"99","2758","Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","6/12/12",90.62,90.62,98,90,72.3,25,12933,"13333",0,0,0
"100","2759","Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","6/12/12",97.8,97.8,99.7,94,75.9,23,12515,"13706",0,0,0
"101","2761","Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","6/12/12",94.44,94.44,90.6,83.6,69.8,18,12508,"12504",0,0,0
"102","2762","Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","6/12/12",92.29,92.29,89.9,82.5,61,22.02,12887,"11766",6,0,0
"103","2763","Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","6/13/12",104,104,100.5,91.8,79.9,26.79,9609,"9612",22,0,0
"104","2764","Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","6/12/12",99.12,99.12,98.9,92.2,72.1,23,11460,"12378",6,0,0
"105","2765","Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","6/12/12",82.2194,NA,81.4,75.3,63.9,NA,NA,"",5,0,0
"106","3221","Palmyra","3 - Palmyra","Unfished","Penguin Spit Channel",15,"backreef","10/26/10","6/14/12",91.44,91.44,91.2,81.5,70.6,16.41,9593,"9899",9,0,0
"107","3295","Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","6/8/12",105.3386,NA,107.2,99.5,80.8,NA,NA,"",0,0,0
"108","3299","Kingman","2 - Kingman","Unfished","KIN-2010-F4",60,"backreef","11/2/10","6/12/12",93.25,93.25,92.5,82.4,66.8,13,12498,"13685",2,0,0
"109","3301","Kingman","2 - Kingman","Unfished","KIN-2010-F4",60,"backreef","11/2/10","6/12/12",83.55,83.55,85.6,76.5,61.2,10,133674,"12071",0,0,0
"110","3303","Kingman","2 - Kingman","Unfished","KIN-2010-F4",60,"backreef","11/2/10","6/14/12",81.62,81.62,79.3,75.9,61.8,11,12073,"12072",13,0,0
"111","3304","Kingman","2 - Kingman","Unfished","KIN-2010-F4",60,"backreef","11/2/10","6/8/12",82.56,82.56,79.3,73.1,62.3,10.37,14747,"14772",1,0,0
"112","3306","Kingman","2 - Kingman","Unfished","KIN-2010-F4",60,"backreef","11/2/10","6/11/12",84.32,84.32,81.8,75.2,63.4,11,13691,"12896",0,0,0
"113","3307","Kingman","2 - Kingman","Unfished","KIN-2010-F4",60,"backreef","11/2/10","6/8/12",82.55,82.55,82.6,74.8,64.9,10.05,15175,"14383",94,0,0
"114","3309","Kingman","2 - Kingman","Unfished","KIN-2010-F4",60,"backreef","11/2/10","6/14/12",80.59,80.59,80.9,73.3,61.8,11.23,14429,"14434",0,0,0
"115","3553","Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","6/12/12",95.51,95.51,98.6,94.2,74.9,22,11434,NA,2,0,0
"116","3554","Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","6/12/12",100.08,100.08,99.3,86.4,75,24,12486,"12395",9,0,0
"117","3556","Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","6/13/12",108.87,108.87,106.8,96.7,80.1,29.56,9619,"9614",8,0,0
"118","3558","Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","6/13/12",105.34,105.34,103.5,97.4,79.4,26.51,9324,"9335",4,0,0
"119","3559","Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","6/12/12",102.78,102.78,97,90.2,75.3,22,13307,"13284",11,0,0
"120","3561","Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","6/13/12",111.09,111.09,108,95.4,80.5,30.95,9927,"9326",11,0,0
"121","3562","Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","6/12/12",77.43,77.43,75.4,71.7,57.3,10,12904,NA,5,0,0
"122","3563","Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","6/12/12",89.6066,NA,89.1,82.5,69.3,16,12411,NA,0,0,0
"123","3564","Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","6/12/12",63.56,63.56,100.4,89.9,77,23,12910,"13314",9,0,0
"124","3565","Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","6/13/12",106.32,106.32,104.8,98.9,80.1,27.43,9616,"9016",8,0,0
"125","3566","Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","6/12/12",103.93,103.93,104.6,96.8,80.9,29,12409,"12407",0,0,0
"126","3585","Jarvis","1 - Jarvis","Unfished","JAR-2010-F2",50,"forereef","11/13/10","6/8/12",106.7066,NA,110.4,98.8,81.8,NA,NA,"",0,4,0
"127","3588","Jarvis","1 - Jarvis","Unfished","JAR-2010-F2",50,"forereef","11/13/10","6/14/12",84.8186,NA,85.6,77,65.8,NA,NA,"",2,0,0
"128","3589","Jarvis","1 - Jarvis","Unfished","JAR-2010-F2",50,"forereef","11/13/10","6/8/12",87.8282,NA,92,87.8,68,NA,NA,"",4,0,0
"129","3591","Jarvis","1 - Jarvis","Unfished","JAR-2010-F2",50,"forereef","11/13/10","6/8/12",101.5082,NA,103.7,94.2,78,NA,NA,"",1,0,0
"130","3592","Jarvis","1 - Jarvis","Unfished","JAR-2010-F3",25,"forereef","11/13/10","6/14/12",75.653,NA,80.9,74.2,59.1,NA,NA,"",0,0,0
"131","3594","Jarvis","1 - Jarvis","Unfished","JAR-2010-F3",25,"forereef","11/13/10","6/8/12",94.6682,NA,98,94.8,73,NA,NA,"",30,0,0
"132","3596","Jarvis","1 - Jarvis","Unfished","JAR-2010-F3",25,"forereef","11/13/10","6/8/12",107.801,NA,104.7,100.1,82.6,NA,NA,"",5,0,0
"133","3598","Jarvis","1 - Jarvis","Unfished","JAR-2010-F3",25,"forereef","11/13/10","6/14/12",96.857,NA,100.4,94.8,74.6,NA,NA,"",0,0,0
"134","TREBILCO1","Kiritimati","6 - Kiritimati","Fished","KIR_2009_26",35,"forereef","6/8/09","11-Apr-10",101,101,NA,94,78,26.69,NA,"",0,0,0
"135","TREBILCO2","Kiritimati","6 - Kiritimati","Fished","KIR_2009_26",35,"forereef","6/8/09","11-Apr-10",98,98,NA,92,78,NA,NA,"",0,0,0
"136","TREBILCO3","Kiritimati","6 - Kiritimati","Fished","KIR_2009_26",35,"forereef","6/8/09","11-Apr-10",76,76,NA,76,59,NA,NA,"",0,0,0
"137","TREBILCO4","Kiritimati","6 - Kiritimati","Fished","KIR_2009_26",35,"forereef","6/8/09","2-Nov-12",75.9714,75.9714,NA,63.8556,52.83,7.96,NA,"",0,0,2
"138","TREBILCO5","Kiritimati","6 - Kiritimati","Fished","KIR_2009_26",35,"forereef","6/8/09","2-Nov-12",66.1416,66.1416,NA,56.9214,50.038,5.35,NA,"",19,0,0
"139","TREBILCO6","Kiritimati","6 - Kiritimati","Fished","KIR_2009_26",35,"forereef","6/8/09","2-Nov-12",99.949,99.949,NA,88.3666,77.47,24.67,NA,"",49,0,0
"140","TREBILCO7","Kiritimati","6 - Kiritimati","Fished","KIR_2009_26",35,"forereef","6/8/09","2-Nov-12",71.769248,NA,NA,62.1792,56.261,7.83,NA,"",14,0,0
"141","TREBILCO8","Kiritimati","6 - Kiritimati","Fished","KIR_2009_26",35,"forereef","6/8/09","2-Nov-12",80.645,80.645,NA,68.8594,60.9346,9.61,NA,"",30,0,0
"142","TREBILCO9","Kiritimati","6 - Kiritimati","Fished","KIR_2009_26",35,"forereef","6/8/09","2-Nov-12",102.108,102.108,NA,90.0684,77.4446,23.72,NA,"",52,0,0
"143","TREBILCO10","Kiritimati","6 - Kiritimati","Fished","KIR_2009_26",35,"forereef","6/8/09","2-Nov-12",95.9866,95.9866,NA,86.0044,74.1934,19.7,NA,"",27,0,0
