"","Fish_ID","island","islandcode","fishingstatus","Station","depth","Habitat","Field.Date","Dissection.date","TL","TL_Thawed","TL_Field","FL_Field","SL_Field","Fish_Weight_Thawed","TREM.ALL","COP.ALL"
"20",3324,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F3",25,"forereef","11/13/10","8/21/12",79.87,79.87,78.7,65,56.5,5.05,0,0
"21",3325,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F3",25,"forereef","11/13/10","8/21/12",61.64,61.64,59.4,53.5,46.4,2.89,0,0
"22",3327,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F3",25,"forereef","11/13/10","8/21/12",60.19,60.19,62,56,46.5,3.45,0,0
"23",1171,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F7",35,"forereef","11/14/10","8/21/12",55.22,55.22,58.8,49.8,43,2.42,0,0
"24",1173,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F7",35,"forereef","11/14/10","8/21/12",63.84,63.84,65.4,56.4,49.1,3.13,0,0
"25",3343,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F7",35,"forereef","11/14/10","8/21/12",61.4,61.4,64.2,55.1,47.7,3.09,0,0
"26",35,"Palmyra","3 - Palmyra","Unfished","Penguin Spit",15,"backreef","10/28/10","8/21/12",31.6,31.6,31.6,27.1,23.7,0.3265,0,0
"27",36,"Palmyra","3 - Palmyra","Unfished","Penguin Spit",15,"backreef","10/28/10","8/21/12",32.41,32.41,32.7,27.9,23.1,0.3245,0,0
"28",1639,"Palmyra","3 - Palmyra","Unfished","Penguin Spit",15,"backreef","10/28/10","8/21/12",29.06,29.06,30.3,27.3,24.3,0.305,0,0
"29",2436,"Palmyra","3 - Palmyra","Unfished","Penguin Spit",15,"backreef","10/28/10","8/21/12",32.71,32.71,32.3,28.1,25.9,0.4243,0,0
"30",3238,"Palmyra","3 - Palmyra","Unfished","Penguin Spit",15,"backreef","10/28/10","8/21/12",32.334,32.334,32.5,28.4,25.3,0.3072,0,0
"31",3244,"Palmyra","3 - Palmyra","Unfished","Penguin Spit",15,"backreef","10/28/10","8/21/12",32.92,32.92,31.1,28.4,24.2,0.2968,0,0
"32",3247,"Palmyra","3 - Palmyra","Unfished","Penguin Spit",15,"backreef","10/28/10","8/21/12",30.45,30.45,32.3,28.2,26.7,0.3124,0,0
"33",963,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",68.69,68.69,72.5,60.3,52.2,3.7,0,0
"34",967,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",52.28,52.28,54.9,45.4,38.9,1.61,0,1
"35",970,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",45.93754,NA,48.1,38.7,34.3,1.1727,0,0
"36",985,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",47.69,47.69,48.8,41.1,34.7,1,1,0
"37",989,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",44.89,44.89,45.5,39.8,33.8,0.92,0,0
"38",1761,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",65.72,65.72,70.8,53.7,47.3,2.76,0,0
"39",1762,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",53.56,53.56,53.9,45.4,39.9,1.61,0,1
"40",1767,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",51.1,51.1,55.1,46.7,39.8,1.44,0,0
"41",1768,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",61.45,61.45,65.3,52.1,45.3,2.7,1,0
"42",1769,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",45.59,45.59,48.9,40.4,34.5,1.064,0,0
"43",1772,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",52.99,52.99,54.8,46.4,39.5,1.65,0,2
"44",1775,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",69.25,69.25,77.2,60.3,52.6,4.081,0,0
"45",1777,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",54.12,54.12,59.9,49.2,42.3,1.97,1,0
"46",1780,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",56.51,56.51,58.9,48.9,42.8,2.03,0,0
"47",1783,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",51.02,51.02,54.7,46.6,39.7,1.56,0,0
"48",1785,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",72.53,72.53,57.5,57,48,3.04,0,1
"49",1786,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",54.09,54.09,56.3,46.1,39.7,1.63,0,0
"50",1787,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",44.63,44.63,43.9,37.5,31.5,0.87,0,0
"51",1788,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",52.93,52.93,57.3,49,42.1,1.86,0,0
"52",2610,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",68.58,68.58,67.7,52.3,47,3.31,0,1
"53",2611,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",63.82,63.82,63.6,53,46.4,3.11,0,0
"54",2612,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",52.91,52.91,50.4,43.1,37,1.57,0,1
"55",2613,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",55.11,55.11,55.1,47.9,39.8,1.79,0,2
"56",2614,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",69.85,69.85,69,56.6,48.9,3.57,0,0
"57",2617,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",74.27,74.27,68.9,54.6,47.1,3.28,0,0
"58",2618,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",69.47,69.47,66.5,54.5,45.7,3.15,0,1
"59",2619,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",50.17,50.17,50.9,42.3,35.7,1.57,0,0
"60",2620,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/21/12",46.74,46.74,47.6,40.1,34.5,1.23,0,0
"61",295,"Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","8/21/12",50.31,50.31,53,46,39,1.51,0,0
"62",1090,"Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","8/21/12",51.74,51.74,49.7,38,NA,1.51,0,0
"63",1094,"Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","8/21/12",34.4769,NA,34,30,26,NA,0,0
"64",2674,"Teraina","4 - Teraina","Fished","TER-2010-F7",35,"forereef","11/10/10","8/21/12",70.27,70.27,53.5,61.6,55.1,4.12,0,0
"65",2683,"Teraina","4 - Teraina","Fished","TER-2010-F7",35,"forereef","11/10/10","8/21/12",51.19,51.19,51.5,43.4,39.5,1.67,0,0
"66",2684,"Teraina","4 - Teraina","Fished","TER-2010-F7",35,"forereef","11/10/10","8/21/12",57.87,57.87,57.5,48.2,43.1,1.75,0,0
"67",417,"Kiritimati","6 - Kiritimati","Fished","KIR-2010-F1",35,"forereef","11/19/10","8/22/12",67.21,67.21,68.5,60.2,52.9,3.624,0,0
"68",418,"Kiritimati","6 - Kiritimati","Fished","KIR-2010-F1",35,"forereef","11/19/10","8/22/12",58.27,58.27,58.6,54,45.7,2.1178,0,0
"69",419,"Kiritimati","6 - Kiritimati","Fished","KIR-2010-F1",35,"forereef","11/19/10","8/22/12",52.73,52.73,53.4,48.5,42.1,1.718,0,0
"70",420,"Kiritimati","6 - Kiritimati","Fished","KIR-2010-F1",35,"forereef","11/19/10","8/22/12",53.15,53.15,52.9,45.4,41.7,1.74,0,0
"71",421,"Kiritimati","6 - Kiritimati","Fished","KIR-2010-F1",35,"forereef","11/19/10","8/22/12",50.33,50.33,50.5,43.1,38,1.3096,0,0
"72",422,"Kiritimati","6 - Kiritimati","Fished","KIR-2010-F1",35,"forereef","11/19/10","8/22/12",50.33,50.33,49.1,41.8,37.4,1.358,0,0
"73",423,"Kiritimati","6 - Kiritimati","Fished","KIR-2010-F1",35,"forereef","11/19/10","8/22/12",50.39,50.39,50.7,43.5,38.2,1.3199,0,0
"74",424,"Kiritimati","6 - Kiritimati","Fished","KIR-2010-F1",35,"forereef","11/19/10","8/22/12",50.88,50.88,50.3,42.5,37.8,1.384,0,0
"75",425,"Kiritimati","6 - Kiritimati","Fished","KIR-2010-F1",35,"forereef","11/19/10","8/22/12",42,42,39.4,34.7,31.2,0.704,0,0
"76",426,"Kiritimati","6 - Kiritimati","Fished","KIR-2010-F1",35,"forereef","11/19/10","8/22/12",30.05834,NA,31.5,26.9,22.8,NA,0,0
"77",427,"Kiritimati","6 - Kiritimati","Fished","KIR-2010-F1",35,"forereef","11/19/10","8/22/12",26.05402,NA,27.7,23.6,19.9,NA,0,0
"78",428,"Kiritimati","6 - Kiritimati","Fished","KIR-2010-F1",35,"forereef","11/19/10","8/22/12",28.81562,NA,28.9,25.6,21.9,NA,0,0
"79",293,"Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","8/22/12",53.01,53.01,53,48,39,1.71,0,0
"80",301,"Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","8/22/12",45.61,45.61,45,40,36,0.98,0,0
"81",1091,"Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","8/22/12",51.54,51.54,51.2,44.6,38.9,1.62,0,0
"82",1894,"Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","8/22/12",48.2849,NA,44,41,36,0.91,0,0
"83",1897,"Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","8/22/12",37.2385,NA,36,30,28,NA,0,0
"84",2690,"Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","8/22/12",35.8577,NA,35,31,27,NA,0,0
"85",2696,"Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","8/22/12",37.2385,NA,39,33,28,NA,0,0
"86",2700,"Teraina","4 - Teraina","Fished","TER-2010-F1",60,"forereef","11/9/10","8/22/12",35.8577,NA,34,32,27,NA,0,1
"87",319,"Teraina","4 - Teraina","Fished","TER-2010-F2",35,"forereef","11/9/10","8/22/12",78.86,78.86,80.9,68,59.1,6.36,0,0
"88",320,"Teraina","4 - Teraina","Fished","TER-2010-F2",35,"forereef","11/9/10","8/22/12",79.02,79.02,79.8,65.5,59.2,5.63,0,0
"89",2705,"Teraina","4 - Teraina","Fished","TER-2010-F3",35,"forereef","11/9/10","8/22/12",55.98,55.98,51.2,44.3,40.4,1.61,0,0
"90",2675,"Teraina","4 - Teraina","Fished","TER-2010-F7",35,"forereef","11/10/10","8/22/12",72.11,72.11,74.4,61.9,56.7,4.18,0,1
"91",2676,"Teraina","4 - Teraina","Fished","TER-2010-F7",35,"forereef","11/10/10","8/22/12",76.05,76.05,74.6,58.6,51.8,3.34,0,0
"92",2677,"Teraina","4 - Teraina","Fished","TER-2010-F7",35,"forereef","11/10/10","8/22/12",60.71,60.71,70.1,51.9,47.1,2.48,1,0
"93",2678,"Teraina","4 - Teraina","Fished","TER-2010-F7",35,"forereef","11/10/10","8/22/12",58.15,58.15,60.8,47.8,42.5,2.44,0,0
"94",2679,"Teraina","4 - Teraina","Fished","TER-2010-F7",35,"forereef","11/10/10","8/22/12",54.98,54.98,57,49.3,44.5,1.92,0,0
"95",2680,"Teraina","4 - Teraina","Fished","TER-2010-F7",35,"forereef","11/10/10","8/22/12",61.32,61.32,55.7,52.5,48.8,2.53,0,0
"96",2682,"Teraina","4 - Teraina","Fished","TER-2010-F7",35,"forereef","11/10/10","8/22/12",52.66,52.66,53,45.7,41.4,1.69,0,0
"97",2685,"Teraina","4 - Teraina","Fished","TER-2010-F7",35,"forereef","11/10/10","8/22/12",49.55,49.55,51.7,43.6,39.2,1.43,0,0
"98",3332,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","8/24/12",48.83722,NA,46.1,41.5,36.4,1.357,1,0
"99",3333,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","8/24/12",45.52,45.52,43.4,38.8,32.5,1.088,0,0
"100",3534,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F1",45,"forereef","11/12/10","8/24/12",36.77,36.77,33.7,30.8,25.3,0.467,0,0
"101",1172,"Jarvis","1 - Jarvis","Unfished","JAR-2010-F7",35,"forereef","11/14/10","8/24/12",37.32,37.32,38.6,33.9,28.7,0.603,0,0
"102",966,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/24/12",34.21,34.21,35.5,30.3,24.8,0.3181,0,0
"103",969,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/24/12",35.59,35.59,34.1,29.6,24.8,0.387,0,0
"104",1765,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/24/12",34.89,34.89,35.8,30.7,25.6,0.4167,0,0
"105",1782,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/24/12",44.26,44.26,45.5,38.3,32.3,0.7186,0,0
"106",1784,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/24/12",47.18,47.18,49.6,41.5,35.9,0.9616,0,0
"107",1789,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/24/12",34.17,34.17,33.8,29.2,24.2,NA,0,0
"108",2609,"Tabuaeran","5 - Tabuaeran","Fished","TAB-2010-F1",65,"forereef","11/5/10","8/24/12",49.25146,NA,49.9,42.7,36.7,NA,0,0
"109",2681,"Teraina","4 - Teraina","Fished","TER-2010-F7",35,"forereef","11/10/10","8/24/12",50.87,50.87,63.8,46.3,42,1.52,0,0
